STOP_FRISK_ID,STOP_FRISK_TIME,MONTH2,DAY2,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,SUSPECT_ARRESTED_FLAG,FRISKED_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,STOP_LOCATION_BORO_NAME
10592,2:32:00,January,Saturday,ASSAULT,6,N,N,(null),30,MALE,(null),QUEENS
10593,18:50:00,January,Saturday,CPW,1,N,Y,(null),21,MALE,WHITE,QUEENS
10594,18:50:00,January,Saturday,CPW,1,N,Y,(null),32,MALE,WHITE,QUEENS
10595,11:31:00,January,Sunday,OTHER,2,Y,Y,(null),39,MALE,WHITE HISPANIC,QUEENS
10596,18:40:00,January,Monday,OTHER,3,N,N,(null),(null),MALE,ASIAN/PAC.ISL,QUEENS
10597,6:20:00,January,Tuesday,CPW,10,N,Y,(null),59,MALE,WHITE,QUEENS
10598,0:20:00,January,Sunday,CRIMINAL TRESPASS,5,Y,N,(null),38,MALE,WHITE HISPANIC,QUEENS
10599,22:50:00,January,Tuesday,CRIMINAL TRESPASS,5,Y,N,(null),25,FEMALE,BLACK,QUEENS
10600,14:00:00,January,Wednesday,GRAND LARCENY AUTO,10,N,N,(null),17,MALE,WHITE HISPANIC,QUEENS
10601,19:00:00,January,Thursday,ROBBERY,5,N,Y,(null),29,MALE,BLACK,QUEENS
10602,14:15:00,January,Thursday,CPW,10,N,Y,(null),20,MALE,BLACK,QUEENS
10603,15:30:00,January,Friday,ROBBERY,10,N,Y,(null),24,MALE,BLACK,QUEENS
10604,10:45:00,January,Thursday,ROBBERY,5,N,N,(null),30,MALE,BLACK,QUEENS
10605,20:05:00,January,Tuesday,CPW,10,N,Y,(null),34,MALE,BLACK,QUEENS
10606,20:05:00,January,Tuesday,CPW,10,N,Y,(null),31,MALE,BLACK,QUEENS
10607,21:30:00,January,Tuesday,PETIT LARCENY,5,N,N,(null),21,MALE,WHITE HISPANIC,QUEENS
10608,21:30:00,January,Tuesday,PETIT LARCENY,5,N,N,(null),23,MALE,WHITE HISPANIC,QUEENS
10609,14:56:00,January,Tuesday,BURGLARY,10,N,Y,(null),15,MALE,WHITE,QUEENS
10610,14:30:00,January,Tuesday,GRAND LARCENY,10,N,N,(null),41,MALE,BLACK,QUEENS
